"STATISTIC Label","Year","Age Group","Sex","Region","UNIT","VALUE"
"Estimated Population (Persons in April)","2022","All ages","Both sexes","South-East","Thousand","460.7"
"Estimated Population (Persons in April)","2022","All ages","Both sexes","South-West","Thousand","743"
"Estimated Population (Persons in April)","2022","All ages","Both sexes","Dublin","Thousand","1468.4"
"Estimated Population (Persons in April)","2022","All ages","Both sexes","Mid-East","Thousand","774"
"Estimated Population (Persons in April)","2022","All ages","Both sexes","Midland","Thousand","320.3"
"Estimated Population (Persons in April)","2023","All ages","Both sexes","State","Thousand","5281.6"
"Estimated Population (Persons in April)","2023","All ages","Both sexes","Border","Thousand","432.1"
"Estimated Population (Persons in April)","2023","All ages","Both sexes","West","Thousand","500.8"
"Estimated Population (Persons in April)","2023","All ages","Both sexes","Mid-West","Thousand","519.6"
"Estimated Population (Persons in April)","2023","All ages","Both sexes","South-East","Thousand","468.6"
"Estimated Population (Persons in April)","2023","All ages","Both sexes","South-West","Thousand","757.4"
"Estimated Population (Persons in April)","2023","All ages","Both sexes","Dublin","Thousand","1501.5"
"Estimated Population (Persons in April)","2023","All ages","Both sexes","Mid-East","Thousand","777.1"
"Estimated Population (Persons in April)","2023","All ages","Both sexes","Midland","Thousand","324.6"
