"STATISTIC Label","Quarter","Number of Bedrooms","Property Type","Location","UNIT","VALUE"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Blackrock, Dublin","Euro","1684.39"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Booterstown, Dublin","Euro","1682.55"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Cabinteely, Dublin","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Citywest, Dublin","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dalkey, Dublin","Euro","1883"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Donabate, Dublin","Euro","1142.91"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dun Laoghaire, Dublin","Euro","1396.62"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Glenageary, Dublin","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Howth, Dublin","Euro","1577.27"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Killiney, Dublin","Euro","1815.83"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Kinsealy, Dublin","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Lucan, Dublin","Euro","1279.7"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Lusk, Dublin","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Malahide, Dublin","Euro","1585.15"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Monkstown, Dublin","Euro","1365.86"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Mount Merrion, Dublin","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Portmarnock, Dublin","Euro","1298.94"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Rathcoole, Dublin","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Rush, Dublin","Euro","1108.42"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Saggart, Dublin","Euro","1335.55"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Sandycove, Dublin","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Shankill, Dublin","Euro","1361.08"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Skerries, Dublin","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Stepaside, Dublin","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Stillorgan, Dublin","Euro","1660.39"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Swords, Dublin","Euro","1240.17"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dublin 1","Euro","1169.54"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","I.F.S.C., Dublin 1","Euro","1033.64"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Parnell Street, Dublin 1","Euro","1322.37"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Spencer Dock, Dublin 1","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Summerhill, Dublin 1","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dublin 2","Euro","1501.23"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Aungier Street, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Charlemont Street, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Grand Canal Dock, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Grand Canal Square, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Hanover Quay, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Lower Mount Street, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Pearse Street, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Tara Street, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Temple Bar, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Townsend Street, Dublin 2","Euro","1490.97"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dublin 3","Euro","1310.14"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Clonliffe, Dublin 3","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Clontarf, Dublin 3","Euro","1379.07"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Drumcondra, Dublin 3","Euro","1281.14"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","East Wall, Dublin 3","Euro","1268.38"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Eastwall, Dublin 3","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Fairview, Dublin 3","Euro","1166.28"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Marino, Dublin 3","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","North Strand, Dublin 3","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dublin 4","Euro","1640.88"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Ballsbridge, Dublin 4","Euro","1702.98"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Donnybrook, Dublin 4","Euro","1755.68"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Irishtown, Dublin 4","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Merrion, Dublin 4","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Pembroke, Dublin 4","Euro","1595.34"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Ringsend, Dublin 4","Euro","1435.96"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Sandymount, Dublin 4","Euro","1845.44"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dublin 5","Euro","1290.69"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Artane, Dublin 5","Euro","1288.79"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Killester, Dublin 5","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Raheny, Dublin 5","Euro","1394.52"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dublin 6","Euro","1229.4"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dartry, Dublin 6","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Harolds Cross, Dublin 6","Euro","1347.64"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Milltown, Dublin 6","Euro","1614.12"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Ranelagh, Dublin 6","Euro","1328.66"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Rathgar, Dublin 6","Euro","1109.38"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Rathmines, Dublin 6","Euro","1106.36"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Terenure, Dublin 6","Euro","1281.97"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dublin 6W","Euro","1427.79"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Harolds Cross, Dublin 6W","Euro","1350.46"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Templeogue, Dublin 6W","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Terenure, Dublin 6W","Euro","1506.69"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dublin 7","Euro","1132.37"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Arbour Hill, Dublin 7","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Cabra, Dublin 7","Euro","1088.98"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Navan Road, Dublin 7","Euro","1304.3"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","North Circular Road, Dublin 7","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Phibsboro, Dublin 7","Euro","1023.4"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Smithfield, Dublin 7","Euro","1370.38"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Stoneybatter, Dublin 7","Euro","1030.32"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dublin 8","Euro","1225.27"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Christchurch, Dublin 8","Euro","1299.17"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Cork Street, Dublin 8","Euro","1271.97"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dolphins Barn, Dublin 8","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Inchicore, Dublin 8","Euro","1233.28"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Islandbridge, Dublin 8","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Kilmainham , Dublin 8","Euro","1245.27"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Portobello, Dublin 8","Euro","1176.47"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Rialto, Dublin 8","Euro","1276.48"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","South Circular Road, Dublin 8","Euro","1117.76"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","The Coombe, Dublin 8","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dublin 9","Euro","981.49"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Ballymun, Dublin 9","Euro","1071.04"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Beaumont, Dublin 9","Euro","1237.19"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Drumcondra, Dublin 9","Euro","1299.28"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Glasnevin, Dublin 9","Euro","1306.61"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Santry, Dublin 9","Euro","1196.92"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Whitehall, Dublin 9","Euro","1383.39"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dublin 10","Euro","1123.3"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Ballyfermot, Dublin 10","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Cherry Orchard, Dublin 10","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dublin 11","Euro","1220.23"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Ballymun, Dublin 11","Euro","1051.11"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Finglas, Dublin 11","Euro","1219.97"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Glasnevin, Dublin 11","Euro","1431.83"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Meakstown, Dublin 11","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","St Margarets Road, Dublin 11","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dublin 12","Euro","1315"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Crumlin, Dublin 12","Euro","1284.87"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Drimnagh, Dublin 12","Euro","1374.12"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Kimmage, Dublin 12","Euro","1292.33"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Walkinstown, Dublin 12","Euro","1424.5"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dublin 13","Euro","1372.89"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Baldoyle, Dublin 13","Euro","1510.19"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Balgriffin, Dublin 13","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Clongriffin, Dublin 13","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Donaghmede, Dublin 13","Euro","1380.83"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Sutton, Dublin 13","Euro","1510.29"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dublin 14","Euro","1590.76"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Churchtown, Dublin 14","Euro","1740.21"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Clonskeagh, Dublin 14","Euro","1675"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dundrum, Dublin 14","Euro","1527.12"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Goatstown, Dublin 14","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Rathfarnham, Dublin 14","Euro","1523.66"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dublin 15","Euro","1291.31"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Ashtown, Dublin 15","Euro","1305"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Blanchardstown, Dublin 15","Euro","1196.9"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Carpenterstown, Dublin 15","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Castleknock, Dublin 15","Euro","1359.19"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Clonee, Dublin 15","Euro","1225.6"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Clonsilla, Dublin 15","Euro","1293.09"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Coolmine, Dublin 15","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Mulhuddart, Dublin 15","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Ongar, Dublin 15","Euro","1154.91"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Porterstown, Dublin 15","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Royal Canal Park, Dublin 15","Euro","1232.38"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Tyrrelstown, Dublin 15","Euro","1360.23"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dublin 16","Euro","1507.5"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Ballinteer, Dublin 16","Euro","1544.09"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dundrum, Dublin 16","Euro","1545.08"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Knocklyon, Dublin 16","Euro","1428.75"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Rathfarnham, Dublin 16","Euro","1510.04"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Sandyford, Dublin 16","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dublin 17","Euro","1228.36"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Malahide Road, Dublin 17","Euro","1272.12"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Northern Cross, Dublin 17","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dublin 18","Euro","1591.05"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Cabinteely, Dublin 18","Euro","1495.82"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Carrickmines, Dublin 18","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Foxrock, Dublin 18","Euro","2358.57"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Leopardstown, Dublin 18","Euro","1654.69"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Sandyford, Dublin 18","Euro","1509.14"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Stepaside, Dublin 18","Euro","1499.18"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dublin 20","Euro","1246.65"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Chapelizod, Dublin 20","Euro","1240.78"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Palmerstown, Dublin 20","Euro","1266.39"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Clondalkin, Dublin 22","Euro","1173.53"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dublin 24","Euro","1265.22"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Ballycullen, Dublin 24","Euro","1382.79"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Citywest, Dublin 24","Euro","1248.72"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Firhouse, Dublin 24","Euro","1342.86"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Tallaght, Dublin 24","Euro","1205.54"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Galway","Euro","878.6"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Galway City","Euro","944.14"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Athenry, Galway","Euro","732.44"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Ballinasloe, Galway","Euro","644.92"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Ballybane, Galway","Euro","912.1"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Ballybrit, Galway","Euro","596.12"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Barna, Galway","Euro","1011.2"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Bohermore, Galway","Euro","1020.93"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Claregalway, Galway","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Clifden, Galway","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Doughiska, Galway","Euro","868.43"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Gort, Galway","Euro","875.86"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Headford, Galway","Euro","970.1"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Knocknacarra, Galway","Euro","896.06"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Loughrea, Galway","Euro","638.77"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Mervue, Galway","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Monivea, Galway","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Moycullen, Galway","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Newcastle, Galway","Euro","1102.05"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Oranmore, Galway","Euro","841.42"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Oughterard, Galway","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Portumna, Galway","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Rahoon, Galway","Euro","932.73"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Renmore, Galway","Euro","821.18"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Roscam, Galway","Euro",""
